id,institution,location,degree,start,end
"1","San Jose State University","San Jose, CA","Master’s Degree in Artificial Intelligence","Aug 2025","Present"
"2","Woxsen University","Telangana, India","Bachelor of Technology in Computer Science Engineering","Sep 2021","May 2025"
