id,role,company,location,start,end
"1","Data Scientist Intern","SUHORA Technologies Pvt. Ltd.","Uttar Pradesh, India","Mar 2024","Jul 2024"
"2","Research Assistant","Woxsen University","Telangana, India","Aug 2023","Feb 2024"
